,ID,verbatimScientificName,,,,,,,nameStringConcatenated
12,466,"Chrysochares asiaticus (Pallas, 1771)",Chrysochares asiaticus,"Chrysochares asiaticus Pallas, 1771",,,,,"Chrysochares asiaticus (Pallas, 1771);Chrysochares asiaticus;Chrysochares asiaticus Pallas, 1771"
13,470,"Polyommatus anteros Freyer, 1839",Polyommatus anteros,,,,,,"Polyommatus anteros Freyer, 1839;Polyommatus anteros"
14,472,"Chelis maculosa mannerheimi (Duponchel, 1836)",Chelis maculosa mannerheimi,,,,,,"Chelis maculosa mannerheimi (Duponchel, 1836);Chelis maculosa mannerheimi"
15,489,"Evylaeus corvinus (Morawitz, 1876)",Evylaeus corvinus,,,,,,"Evylaeus corvinus (Morawitz, 1876);Evylaeus corvinus"
16,606,"Agabus kessleri Hochhuth, 1871",Agabus kessleri,,,,,,"Agabus kessleri Hochhuth, 1871;Agabus kessleri"
17,687,"Ropalopus hungaricus (Fabricius, 1775)",Ropalopus hungaricus,"Ropalopus ungaricus (Herbst, 1784)","Rhopalopus hungaricus Sonthonnax, 1889","Rhopalopus hungaricus Iablokoff, 1950",,,"Ropalopus hungaricus (Fabricius, 1775);Ropalopus hungaricus;Ropalopus ungaricus (Herbst, 1784);Rhopalopus hungaricus Sonthonnax, 1889;Rhopalopus hungaricus Iablokoff, 1950"
18,703,"Alaus parreyssi (Steven, 1830)",Alaus parreyssi,"Calais parreysii (Steven, 1829)","Calais parreyssi Steven,1830",Alaus parreyssi Stev.,Alaus parreyssi Steven,,"Alaus parreyssi (Steven, 1830);Alaus parreyssi;Calais parreysii (Steven, 1829);Calais parreyssi Steven,1830;Alaus parreyssi Stev.;Alaus parreyssi Steven"
19,792,"Glaphyrus vulpes (Fabricius, 1781)",Glaphyrus vulpes,"Glaphyrus vulpes Fabricius, 1781",,,,,"Glaphyrus vulpes (Fabricius, 1781);Glaphyrus vulpes;Glaphyrus vulpes Fabricius, 1781"
20,968,"Gonospileia triquetra (Denis & Schiffermuller, 1775)",Gonospileia triquetra,Euclidia (Gonospileia) triquetra (Denis & Schiffermüller) 1775,"Gonospileia triquetra (Denis & Schiffermüller, 1775)",,,,"Gonospileia triquetra (Denis & Schiffermuller, 1775);Gonospileia triquetra;Euclidia (Gonospileia) triquetra (Denis & Schiffermüller) 1775;Gonospileia triquetra (Denis & Schiffermüller, 1775)"
21,1092,"Neopristilophus depressus (Coermar, 1822)",Neopristilophus depressus,"Neopristilophus insitivus (Germar, 1824)","Elater depressus Germar, 1822","Elater insitivus Germar, 1824",,,"Neopristilophus depressus (Coermar, 1822);Neopristilophus depressus;Neopristilophus insitivus (Germar, 1824);Elater depressus Germar, 1822;Elater insitivus Germar, 1824"
22,1093,"Cecchiniola platyscelidina (Jacobson, 1908)",Cecchiniola platyscelidina,"Chrysolina (Cecchiniola) platyscelidina (Jacobson, 1898)","Chrysolina platyscelidina (Jacobson, 1898)","Chrysomela platyscelidina Jacobson, 1898",,,"Cecchiniola platyscelidina (Jacobson, 1908);Cecchiniola platyscelidina;Chrysolina (Cecchiniola) platyscelidina (Jacobson, 1898);Chrysolina platyscelidina (Jacobson, 1898);Chrysomela platyscelidina Jacobson, 1898"
23,1163,"Eudia spini (Denis & Schiffermuller, 1775)",Eudia spini,Saturnia (Eudia) spini (Denis & Schiffermüller) 1775,Eudia spini Denis & Schiffermüller 1775,Eudia spini D.&Sch.,"Eudia spini (Denis & Schifermuller, 1775)","Eudia spini Denis & Schiffermüller, 1775","Eudia spini (Denis & Schiffermuller, 1775);Eudia spini;Saturnia (Eudia) spini (Denis & Schiffermüller) 1775;Eudia spini Denis & Schiffermüller 1775;Eudia spini D.&Sch.;Eudia spini (Denis & Schifermuller, 1775);Eudia spini Denis & Schiffermüller, 1775"
24,1221,"Pelatea verucha Nedoshivina & Zolotuhin, 2005",Pelatea verucha,"Pelatea verucha (Nedoshivina et Zolotuhin, 2005)",,,,,"Pelatea verucha Nedoshivina & Zolotuhin, 2005;Pelatea verucha;Pelatea verucha (Nedoshivina et Zolotuhin, 2005)"
25,1228,"Xiphydria markewitshi Ermolenko, 1960",Xiphydria markewitshi,,,,,,"Xiphydria markewitshi Ermolenko, 1960;Xiphydria markewitshi"
26,1268,"Campsoscolia klugii (Vander Linden, 1827)",Campsoscolia klugii,"Scolia klugii Vander Linden, 1827","Colpa klugii (Vander Linden, 1827)",,,,"Campsoscolia klugii (Vander Linden, 1827);Campsoscolia klugii;Scolia klugii Vander Linden, 1827;Colpa klugii (Vander Linden, 1827)"
27,1299,"Seladonia semitecta (Morawitz, 1873)",Seladonia semitecta,,,,,,"Seladonia semitecta (Morawitz, 1873);Seladonia semitecta"
28,1300,"Evylaeus laevis (Kirby, 1802)",Evylaeus laevis,,,,,,"Evylaeus laevis (Kirby, 1802);Evylaeus laevis"
29,1301,"Evylaeus quadrisignatus (Schenck, 1853)",Evylaeus quadrisignatus,"Lasioglossum quadrisignatum (Schenck, 1853)","Hylaeus quadrisignatum Schenck, 1853","Hylaeus quadrisignatus Schenck, 1853",,,"Evylaeus quadrisignatus (Schenck, 1853);Evylaeus quadrisignatus;Lasioglossum quadrisignatum (Schenck, 1853);Hylaeus quadrisignatum Schenck, 1853;Hylaeus quadrisignatus Schenck, 1853"
30,1372,Macropis wancowiczi,Macropis wancowiczi,,,,,,Macropis wancowiczi;Macropis wancowiczi
31,1481,"Chondrostoma nasus subsp. borysthenicum Berg, 1914",Chondrostoma nasus subsp. borysthenicum,"Chondrostoma nasus borysthenicum Berg, 1914",,,,,"Chondrostoma nasus subsp. borysthenicum Berg, 1914;Chondrostoma nasus subsp. borysthenicum;Chondrostoma nasus borysthenicum Berg, 1914"
32,1492,"Vimba tenella (Nordmann, 1840)",Vimba tenella,"Vimba vimba tenella (Nordmann, 1840)",,,,,"Vimba tenella (Nordmann, 1840);Vimba tenella;Vimba vimba tenella (Nordmann, 1840)"
33,2044,"Spermophilus odessanus Nordmann, 1840",Spermophilus odessanus,,,,,,"Spermophilus odessanus Nordmann, 1840;Spermophilus odessanus"
34,2059,"Sicista cimlanica (Kovalskaya et al., 2000)",Sicista cimlanica,"Sicista cimlanica Kovalskaya, Tikhonov, Tikhonova, Surov et Bogomolov, 2000",,,,,"Sicista cimlanica (Kovalskaya et al., 2000);Sicista cimlanica;Sicista cimlanica Kovalskaya, Tikhonov, Tikhonova, Surov et Bogomolov, 2000"
35,2067,"Nothocricetulus migratorius (Pallas, 1773)",Nothocricetulus migratorius,,,,,,"Nothocricetulus migratorius (Pallas, 1773);Nothocricetulus migratorius"
36,2390,Stipa donetzica Czupryna,Stipa donetzica,Stipa donetzica Chuprina,,,,,Stipa donetzica Czupryna;Stipa donetzica;Stipa donetzica Chuprina
37,2410,Cladophora sivashensis C.Meyer,Cladophora sivashensis,,,,,,Cladophora sivashensis C.Meyer;Cladophora sivashensis
38,2492,Galium dubovikiae Ostapko,Galium dubovikiae,,,,,,Galium dubovikiae Ostapko;Galium dubovikiae
39,2873,Atocion hypanicum (Klokov) Tzvelev,Atocion hypanicum,,,,,,Atocion hypanicum (Klokov) Tzvelev;Atocion hypanicum
40,2928,Astragalus excapus L.,Astragalus excapus,,,,,,Astragalus excapus L.;Astragalus excapus
41,3161,Dasyopsis apiculata (C. Agardh) Zinova,Dasyopsis apiculata,,,,,,Dasyopsis apiculata (C. Agardh) Zinova;Dasyopsis apiculata
42,3297,Phlomoides scythica (Klokov & Des.-Shost.) Czer.,Phlomoides scythica,Phlomoides scythica (Klokov et Des.-Shost.) Czer.,,,,,Phlomoides scythica (Klokov & Des.-Shost.) Czer.;Phlomoides scythica;Phlomoides scythica (Klokov et Des.-Shost.) Czer.
43,3375,Ranunculus thora L. (R. tatrae Borbás),Ranunculus thora tatrae,Ranunculus thora L.,Ranunculus carpaticus Wahlenb. ex Nyman,,,,Ranunculus thora L. (R. tatrae Borbás);Ranunculus thora tatrae;Ranunculus thora L.;Ranunculus carpaticus Wahlenb. ex Nyman
44,3435,"Alectoria mirabilis Motyka, 1960",Alectoria mirabilis,,,,,,"Alectoria mirabilis Motyka, 1960;Alectoria mirabilis"
45,3612,Helianthemum grandiflorum subsp. glaucescens (Murb.) Holub,Helianthemum grandiflorum subsp. glaucescens,,,,,,Helianthemum grandiflorum subsp. glaucescens (Murb.) Holub;Helianthemum grandiflorum subsp. glaucescens
46,3674,Scabiosa lucida subsp. barbata Nyar,Scabiosa lucida subsp. barbata,Scabiosa lucida subsp. barbata,Scabiosa lucida subsp. barbata Nyár.,,,,Scabiosa lucida subsp. barbata Nyar;Scabiosa lucida subsp. barbata;Scabiosa lucida subsp. barbata;Scabiosa lucida subsp. barbata Nyár.
47,3928,Enteromorpha maeotica Proschk.–Lavr.,Enteromorpha maeotica,Enteromorpha maeotica Proshkina-Lavrenko,"Enteromorpha maeotica Proschkina-Lavrenko, 1945",Enteromorpha maeotica Proschk.–Lavr.,,,"Enteromorpha maeotica Proschk.–Lavr.;Enteromorpha maeotica;Enteromorpha maeotica Proshkina-Lavrenko;Enteromorpha maeotica Proschkina-Lavrenko, 1945;Enteromorpha maeotica Proschk.–Lavr."
48,3991,Cosmarium hornavanense var. mirabile Ruzicka,Cosmarium hornavanense var. mirabile,,,,,,Cosmarium hornavanense var. mirabile Ruzicka;Cosmarium hornavanense var. mirabile
49,3992,Cosmarium hornavanense var. alpinum (Schmidle) Messinkommer,Cosmarium hornavanense var. alpinum,,,,,,Cosmarium hornavanense var. alpinum (Schmidle) Messinkommer;Cosmarium hornavanense var. alpinum
50,4079,Raphidiastrum monticulosum (Breb.) Pal.-Mordv.,Raphidiastrum monticulosum,,,,,,Raphidiastrum monticulosum (Breb.) Pal.-Mordv.;Raphidiastrum monticulosum
51,4139,Trentepohlia jolithus (L.) Wallr. var. bovina (Flot.) Rabenh.,Trentepohlia jolithus var. bovina,,,,,,Trentepohlia jolithus (L.) Wallr. var. bovina (Flot.) Rabenh.;Trentepohlia jolithus var. bovina
52,4141,Trentepohlia aurea var. tomentosa Kutz.,Trentepohlia aurea var. tomentosa,Trentepohlia aurea (L.) Mart. var. tomentosa,Trentepohlia aurea var. tomentosa Kützing,Trentepohlia aurea (L.) Mart. var. tomentosa Kütz.,,,Trentepohlia aurea var. tomentosa Kutz.;Trentepohlia aurea var. tomentosa;Trentepohlia aurea (L.) Mart. var. tomentosa;Trentepohlia aurea var. tomentosa Kützing;Trentepohlia aurea (L.) Mart. var. tomentosa Kütz.
53,4149,Ulothrix zonata var. rigia (Kutzing) Hansgirg,Ulothrix zonata var. rigia,,,,,,Ulothrix zonata var. rigia (Kutzing) Hansgirg;Ulothrix zonata var. rigia
54,4150,Ulothrix zonata var. inaequalis (Kutzing) Rabenhorst,Ulothrix zonata var. inaequalis,Ulothrix inaequalis Kütz.,,,,,Ulothrix zonata var. inaequalis (Kutzing) Rabenhorst;Ulothrix zonata var. inaequalis;Ulothrix inaequalis Kütz.
55,4152,Ulothrix moniliformis var. braunii (Kutzing) Hansgirg,Ulothrix moniliformis var. braunii,,,,,,Ulothrix moniliformis var. braunii (Kutzing) Hansgirg;Ulothrix moniliformis var. braunii
56,4155,"Usnea motykana Bystrek & Wojciak, 1994",Usnea motykana,Ramalina motykana Bystrek,,,,,"Usnea motykana Bystrek & Wojciak, 1994;Usnea motykana;Ramalina motykana Bystrek"
57,4157,Usnea cavernosa subsp. sibirica (Rasanen) Mot.,Usnea cavernosa subsp. sibirica,,,,,,Usnea cavernosa subsp. sibirica (Rasanen) Mot.;Usnea cavernosa subsp. sibirica
58,4462,Asperula michelsoni V.Krecz.,Asperula michelsoni,,,,,,Asperula michelsoni V.Krecz.;Asperula michelsoni
59,4471,Teucrium podolicum,Teucrium podolicum,,,,,,Teucrium podolicum;Teucrium podolicum
60,4508,Dasya apiculata (C. Agardh) J. Agardh,Dasya apiculata,,,,,,Dasya apiculata (C. Agardh) J. Agardh;Dasya apiculata
61,4624,Ulva maeotica (Proshk.-Lavr.) P.Tsarenko in Burova & Al.,Ulva maeotica,,,,,,Ulva maeotica (Proshk.-Lavr.) P.Tsarenko in Burova & Al.;Ulva maeotica
62,4628,Bulbochaete subquadrata Mrozinska,Bulbochaete subquadrata,,,,,,Bulbochaete subquadrata Mrozinska;Bulbochaete subquadrata
63,4629,Oedogonium plagiostomum Wittr. ex Hirn var. tanaiticum Y.V. Roll,Oedogonium plagiostomum var. tanaiticum,,,,,,Oedogonium plagiostomum Wittr. ex Hirn var. tanaiticum Y.V. Roll;Oedogonium plagiostomum var. tanaiticum
64,4631,Chaetomorpha zernovii Wononich,Chaetomorpha zernovii,Chaetomorpha zernovii Woronichin,,,,,Chaetomorpha zernovii Wononich;Chaetomorpha zernovii;Chaetomorpha zernovii Woronichin
65,4651,Penium borgeanum Skuja,Penium borgeanum,,,,,,Penium borgeanum Skuja;Penium borgeanum
66,4697,Lazarenkia kozlovii (Laz.) Boiko,Lazarenkia kozlovii,,,,,,Lazarenkia kozlovii (Laz.) Boiko;Lazarenkia kozlovii
67,4883,Hericium coralloides (Fr.) Gray,Hericium coralloides,Hericium coralloides (Scop.) Pers.,,,,,Hericium coralloides (Fr.) Gray;Hericium coralloides;Hericium coralloides (Scop.) Pers.
68,4950,Anaptychia mereschkowskii (Tomin) Kulakov,Anaptychia mereschkowskii,,,,,,Anaptychia mereschkowskii (Tomin) Kulakov;Anaptychia mereschkowskii
69,4964,Lecania ephedrae Elenk.,Lecania ephedrae,Lecania ephedrae Elenkin,,,,,Lecania ephedrae Elenk.;Lecania ephedrae;Lecania ephedrae Elenkin
70,4965,Lecanora elenkinii Mereschk.,Lecanora elenkinii,"Lecanora elenkinii Mereschk., 1913",,,,,"Lecanora elenkinii Mereschk.;Lecanora elenkinii;Lecanora elenkinii Mereschk., 1913"
71,4970,Staurothele epigea Breuss et Etayo,Staurothele epigea,,,,,,Staurothele epigea Breuss et Etayo;Staurothele epigea
72,4990,Acutodesmus regularis (Svirenko) P.Tsarenko,Acutodesmus regularis,"Acutodesmus regularis (D.O.Svirenko, 1924) P.M.Tsarenko, 2001",,,,,"Acutodesmus regularis (Svirenko) P.Tsarenko;Acutodesmus regularis;Acutodesmus regularis (D.O.Svirenko, 1924) P.M.Tsarenko, 2001"
73,4995,Oedogonium stictospermum (Skuja) Tiffany,Oedogonium stictospermum,,,,,,Oedogonium stictospermum (Skuja) Tiffany;Oedogonium stictospermum
74,4996,Oedogonium sodiroanum Lagerh. ex Hirn.,Oedogonium sodiroanum,Oedogonium sodiroanum Lagerh. ex Hirn,,,,,Oedogonium sodiroanum Lagerh. ex Hirn.;Oedogonium sodiroanum;Oedogonium sodiroanum Lagerh. ex Hirn
75,4997,Endoclonium polymorphum Franke,Endoclonium polymorphum,,,,,,Endoclonium polymorphum Franke;Endoclonium polymorphum
76,4998,Cosmarium cyaneilacustre Lilitsk.,Cosmarium cyaneilacustre,,,,,,Cosmarium cyaneilacustre Lilitsk.;Cosmarium cyaneilacustre
77,4999,Cosmarium reticulatum Lilitsk.,Cosmarium reticulatum,,,,,,Cosmarium reticulatum Lilitsk.;Cosmarium reticulatum
78,5003,Spirogyra borysthenica var. ehinospora Kazan. et Smirn.,Spirogyra borysthenica var. ehinospora,,,,,,Spirogyra borysthenica var. ehinospora Kazan. et Smirn.;Spirogyra borysthenica var. ehinospora
79,5004,Spirogyra maxima f. woronichinia Poljansk.,Spirogyra maxima f. woronichinia,,,,,,Spirogyra maxima f. woronichinia Poljansk.;Spirogyra maxima f. woronichinia
80,5005,Spirogyra pseudowoodsii V.Poljansk.,Spirogyra pseudowoodsii,,,,,,Spirogyra pseudowoodsii V.Poljansk.;Spirogyra pseudowoodsii
81,5006,Spirogyra pseudogranulata Ley,Spirogyra pseudogranulata,Spirogyra pseudogranulata S.-H.Ley,,,,,Spirogyra pseudogranulata Ley;Spirogyra pseudogranulata;Spirogyra pseudogranulata S.-H.Ley
82,5008,Scenedesmus polessicus P.Tsarenko,Scenedesmus polessicus,,,,,,Scenedesmus polessicus P.Tsarenko;Scenedesmus polessicus
83,5010,Uronema confervicolum var. uncinatum Popova,Uronema confervicolum var. uncinatum,,,,,,Uronema confervicolum var. uncinatum Popova;Uronema confervicolum var. uncinatum
84,5017,Chara uzbekistanica Hollerb.,Chara uzbekistanica,,,,,,Chara uzbekistanica Hollerb.;Chara uzbekistanica
85,5018,Chlamydomonas plurivacuolatum Wawrick,Chlamydomonas plurivacuolatum,,,,,,Chlamydomonas plurivacuolatum Wawrick;Chlamydomonas plurivacuolatum
86,5019,"Chlamydomonas ucrainica Demchenko, A. Massalski, Kostikov & L. Hoffm.",Chlamydomonas ucrainica,,,,,,"Chlamydomonas ucrainica Demchenko, A. Massalski, Kostikov & L. Hoffm.;Chlamydomonas ucrainica"
87,5035,Melaspilea oxneri Makar.,Melaspilea oxneri,,,,,,Melaspilea oxneri Makar.;Melaspilea oxneri
